title,year,rating,director,actors,url,plot
The Shawshank Redmption,1994,9.2,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",shashank.jpg,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather,1972,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",godfather.jpg,"The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son."
The Dark Knight,2008,9,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",darkknight.jpg,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Godfather Part II,1974,9,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall",godfather2.jpg,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
